id,name,category,manufacturer,total_owned,sell_price,rental_price,net_cost_per_invoice,purchase_price,photo_file_name,photo_file_type,photo_file_path,created_at
79,175' audio snake,"Sound,Cabling",,1,0,0,0,0,175_audio_snake.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/175_audio_snake.jpg,2018-04-30T15:47:00.000Z
80,Macbook Pro (13 in.) (2010),"Video,Computers",Apple,,0,0,0,0,apple_macbook_pro_2012.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/apple_macbook_pro_2012.jpg,2018-04-30T15:49:43.000Z
81,Amplifier,Sound,QSC,1,100,0,0,0,,,,2018-05-01T19:34:13.000Z
82,8' Black Pipe,Infrastructure,,,5,0,0,0,10_black_pipe.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/10_black_pipe.jpg,2018-05-02T21:54:20.000Z
83,Static LED Walls,"CANS,Installed,Lighting",,,1200,0,0,0,,,,2018-05-03T18:01:53.000Z
84,"LED Walls, Coffers, Dome, & Cocktail Soffit","CANS,Installed,Lighting",,,1200,0,0,0,,,,2018-05-03T18:03:26.000Z
85,Dance Floor Lighting,"CANS,Installed,Lighting",,,500,0,0,0,,,,2018-05-03T18:03:29.000Z
86,Video Screens,"CANS,Installed,Video",,,500,0,0,0,,,,2018-05-03T18:03:33.000Z
87,25lb. Sandbag,Infrastructure,,,0,0,0,0,25_lb_sand_bag.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/25_lb_sand_bag.jpg,2018-05-25T16:27:40.000Z
88,Cheeseborough (90 deg),Infrastructure,,,0,0,0,0,cheeseborough.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/cheeseborough.jpg,2018-06-05T16:42:16.000Z
89,1 Ton Manual Chain Hoist,Infrastructure,,,0,25,0,0,1_ton_manual_chain_fall.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/1_ton_manual_chain_fall.jpg,2018-06-05T20:22:58.000Z
90,Motor Technician,Labor,,,300,0,0,0,,,,2018-06-12T17:32:54.000Z
91,Lighting Technician,Labor,,,300,0,0,0,,,,2018-06-12T17:37:16.000Z
92,Master Electrician,Labor,,,300,0,0,0,,,,2018-06-12T17:47:57.000Z
93,Pearl Tiger 2010,"Lighting,Boards",Avolites,1,0,0,0,0,avolites_pearl_2010_tiger.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/avolites_pearl_2010_tiger.jpg,2018-06-12T18:22:00.000Z
94,SDI to HDMI Converter,Cabling,Black Magic,,0,0,0,0,black_magic_sdi_to_hdmi_converter.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/black_magic_sdi_to_hdmi_converter.jpg,2018-06-18T14:58:08.000Z
95,ATEM Video Switcher,Video,Black Magic,,0,0,0,0,ATEM_switcher.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/ATEM_switcher.jpg,2018-06-18T15:01:10.000Z
96,MacBook Pro (15 in.) (2009),"Computers,Video",Apple,,0,0,0,0,apple_macbook_pro_15_2009.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/apple_macbook_pro_15_2009.jpg,2018-06-18T15:12:59.000Z
