id,inventory_id,description,quantity,inc,discount_adj,kind,hours_for_labor_only,description_only,inc_discount_in_opct,created_at
85,44,to light walls & ceiling,5,0,,,,0,,2018-04-09T17:20:03.000Z
86,22,w/ Amber gel to light ceiling,4,0,-$100.00,,,0,,2018-04-09T17:45:47.000Z
87,45,,3,0,,,4,0,,2018-04-09T17:49:15.000Z
88,5,*,,0,"-$1,200.00",,,0,,2018-04-10T17:20:35.000Z
89,28,,10,0,,,,1,,2018-04-10T17:24:27.000Z
90,16,*,,0,-$500.00,,,0,,2018-04-10T17:43:32.000Z
91,46,"50"" Plasma",,0,,,,1,,2018-04-12T16:01:34.000Z
92,47,,,0,,,,0,,2018-04-12T16:15:06.000Z
93,48,Source Four PAR,,0,,,,1,,2018-04-12T16:45:14.000Z
94,41,60in. Plasma,,0,,,,1,,2018-04-12T17:36:11.000Z
95,49,,2,0,,,,0,,2018-04-18T14:51:53.000Z
96,50,,2,0,,,,0,,2018-04-18T14:54:06.000Z
97,51,EV Sx100 Delay Speakers,2,0,,,,1,,2018-04-18T14:54:57.000Z
98,,Amp Rack,,0,-$100.00,,,0,,2018-04-18T14:56:11.000Z
99,52,8' Truss,2,0,,,,1,,2018-04-18T19:06:59.000Z
100,53,Base Plates,2,1,,,,1,,2018-04-18T19:11:12.000Z
101,44,,2,0,,,,0,,2018-04-18T19:13:58.000Z
102,54,Static LED Walls and Soffit,,0,,,,1,,2018-04-18T19:32:21.000Z
103,54,,,0,,,,0,,2018-04-18T19:33:53.000Z
104,55,Static LED Walls,,0,,,,1,,2018-04-23T13:58:02.000Z
105,55,,,0,,,,0,,2018-04-23T14:03:49.000Z
106,11,,1,0,-$100.00,,,0,checked,2018-04-23T14:06:08.000Z
107,56,,,0,,,,0,,2018-04-23T14:08:13.000Z
108,57,,,0,,,,0,,2018-04-23T14:10:43.000Z
109,58,(4' x 4') White Dance Floor pieces ,36,0,,,,1,,2018-04-23T15:45:13.000Z
110,58,4' x 4' White Dance Floor pieces,64,0,,,,1,,2018-04-23T16:40:21.000Z
111,30,,,0,,,,0,,2018-04-23T18:25:29.000Z
112,39,,14,0,,,,0,,2018-04-23T18:30:49.000Z
113,59,,,0,,,,0,,2018-04-23T18:32:16.000Z
114,60,,2,0,,,,0,,2018-04-23T18:36:56.000Z
115,61,,2,0,,,,0,,2018-04-23T18:42:28.000Z
116,62,,2,0,,,,0,,2018-04-23T18:50:49.000Z
117,22,Leko,,0,$25.00,,,1,,2018-04-23T20:34:35.000Z
118,58,4' x 4' White Dance Floor pieces,55,0,,,,1,,2018-04-23T20:37:20.000Z
119,48,,,0,,,,0,,2018-04-23T20:44:07.000Z
