id,type,status,payment_status,payment_type,commission_paid,check_info,discount,deposit,tip,refund,commission_actual,event_id,created_at
368,On Premise Contract,,Paid In Full,Cash,,,300.00,,,,,486,2018-02-27 3:45pm
369,On Premise Contract,,Paid In Full,Check,,,,,,,,487,2018-02-27 3:50pm
370,On Premise Contract,,Paid In Full,Cash,,,,,,,,488,2018-02-27 3:54pm
371,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,475.00,489,2018-02-27 4:03pm
372,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,500.00,490,2018-02-27 4:14pm
373,On Premise Contract,,Paid In Full,Check,,,,,,,,491,2018-02-27 4:17pm
374,On Premise Contract,,Paid In Full,Cash,,,200.00,,,,,492,2018-02-27 4:19pm
375,On Premise Contract,,Paid In Full,Check,,,,,,,800.00,493,2018-02-27 4:29pm
376,On Premise Contract,,Paid In Full,Check,,,,,,,,494,2018-02-27 4:33pm
377,On Premise Contract,,Paid In Full,Check,,,,,,,,495,2018-02-27 4:37pm
378,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,496,2018-02-27 4:40pm
379,On Premise Contract,,Paid In Full,Cash,,,,,,,,497,2018-02-27 5:02pm
380,On Premise Contract,,Paid In Full,Check,,,,,,,,498,2018-02-27 6:23pm
381,On Premise Contract,,Paid In Full,Check,,,,,,,850.00,500,2018-02-27 6:30pm
382,On Premise Contract,,Paid In Full,Cash,,,,,,,700.00,501,2018-02-27 6:46pm
383,On Premise Contract,,Paid In Full,Cash,,,,,,,,502,2018-02-27 6:50pm
384,On Premise Contract,,Paid In Full,Check,,,,,,,,503,2018-02-27 6:53pm
385,On Premise Contract,,Paid In Full,Cash,,,,,,,,504,2018-02-27 6:56pm
386,On Premise Contract,,Paid In Full,Cash,,,,,,,,505,2018-02-27 7:00pm
387,On Premise Contract,,Paid In Full,Check,,,,,,,,506,2018-02-27 7:06pm
388,On Premise Contract,,Paid In Full,Check,,,,,,,,507,2018-02-27 7:14pm
389,On Premise Contract,,Paid In Full,Check,,,,,,,,508,2018-02-27 7:21pm
390,On Premise Contract,,Paid In Full,Cash,,,,,,,,509,2018-02-27 7:24pm
391,On Premise Contract,,Paid In Full,Cash,,,,200.00,,,,510,2018-02-27 7:26pm
392,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,850.00,511,2018-02-27 8:20pm
393,On Premise Contract,,Paid In Full,Cash,,,,,,,,512,2018-02-27 8:25pm
394,On Premise Contract,,Paid In Full,Cash,,,,,,,450.00,513,2018-02-27 8:28pm
395,On Premise Contract,,Paid In Full,Deduction from Commissions,,,,,,,,514,2018-02-27 8:32pm
396,On Premise Contract,,Paid In Full,Deduction from Commissions,,,,,,,,515,2018-02-27 8:52pm
397,On Premise Contract,,Paid In Full,Deduction from Commissions,,,,,,,,516,2018-02-27 9:01pm
398,On Premise Contract,,Paid In Full,Cash,,,,,,,,517,2018-02-27 9:07pm
399,On Premise Contract,,Paid In Full,Check,,,,,,,,518,2018-02-27 9:10pm
400,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,519,2018-02-27 9:12pm
401,On Premise Contract,,Paid In Full,Check,,,,,,,,520,2018-02-27 9:14pm
402,On Premise Contract,,Paid In Full,Unknown,,,,,,,250.00,521,2018-02-27 9:18pm
403,On Premise Contract,,Paid In Full,Check,,,,,,,,522,2018-02-28 2:26pm
404,On Premise Contract,,Paid In Full,Cash,,,,,,,,523,2018-02-28 2:34pm
405,On Premise Contract,,Paid In Full,Check,,,,,,,,524,2018-02-28 2:40pm
406,On Premise Contract,,Paid In Full,Cash,,,,,,,,525,2018-02-28 2:42pm
407,On Premise Contract,,Paid In Full,Cash,,,,,,,,526,2018-02-28 2:44pm
408,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,527,2018-02-28 2:47pm
409,On Premise Contract,,Paid In Full,Check,,,,,,,550.00,528,2018-02-28 2:53pm
410,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,750.00,529,2018-02-28 3:21pm
411,On Premise Contract,,Paid In Full,Check,,,,,,,,530,2018-02-28 3:24pm
412,On Premise Contract,,Paid In Full,Cash,,,,,,,800.00,531,2018-02-28 3:26pm
413,On Premise Contract,,Paid In Full,Check,,,,,,,,532,2018-02-28 3:30pm
414,On Premise Contract,,Paid In Full,Check,,,,,,,,533,2018-02-28 3:33pm
415,On Premise Contract,,Paid In Full,Check,,,,,,,,534,2018-02-28 3:39pm
416,On Premise Contract,,Paid In Full,Check,,,,,,,0.00,535,2018-02-28 3:45pm
417,On Premise Contract,,Paid In Full,Cash,,,,,,,,536,2018-02-28 3:50pm
418,On Premise Contract,,Paid In Full,Cash,,,,,,,0.00,537,2018-02-28 4:06pm
419,On Premise Contract,,Paid In Full,Cash,,,,,,,,538,2018-02-28 4:09pm
420,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,539,2018-02-28 4:27pm
421,On Premise Contract,,Paid In Full,Check,,,,,,,,540,2018-02-28 6:08pm
422,On Premise Contract,,Paid In Full,Check,,,,,,,0.00,541,2018-02-28 6:11pm
423,On Premise Contract,,Paid In Full,Check,,,,,,,,542,2018-02-28 6:14pm
424,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,543,2018-02-28 6:17pm
425,On Premise Contract,,Paid In Full,Check,,,,,,,,544,2018-02-28 6:27pm
426,On Premise Contract,,Paid In Full,Check,,,,,,,,545,2018-02-28 6:30pm
427,On Premise Contract,,Paid In Full,Check,,,,,,,,546,2018-02-28 6:32pm
428,On Premise Contract,,Paid In Full,Check,,,,,,,0.00,547,2018-02-28 6:36pm
429,On Premise Contract,,Paid In Full,Cash,,,,,,,,548,2018-02-28 6:39pm
430,On Premise Contract,,Paid In Full,Check,,,,,,,,549,2018-02-28 6:43pm
431,On Premise Contract,,Paid In Full,Unknown,,,,,,,,550,2018-02-28 7:09pm
432,On Premise Contract,,Paid In Full,Unknown,,,,,,,,551,2018-02-28 7:14pm
433,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,553,2018-02-28 8:09pm
434,On Premise Contract,,Paid In Full,Check,,,,,,,,554,2018-02-28 8:13pm
435,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,555,2018-02-28 8:22pm
436,On Premise Contract,,Paid In Full,Check,,,,,,,,556,2018-02-28 8:25pm
437,On Premise Contract,,Paid In Full,Unknown,,,,,,,,557,2018-02-28 8:31pm
438,On Premise Contract,,Paid In Full,Unknown,,,,,,,,558,2018-02-28 8:35pm
439,On Premise Contract,,Paid In Full,Unknown,,,,,,,,559,2018-02-28 8:39pm
440,On Premise Contract,,Paid In Full,Check,,,,,,,,560,2018-02-28 8:42pm
441,On Premise Contract,,Paid In Full,Check,,,,,,,,561,2018-02-28 8:46pm
442,On Premise Contract,,Paid In Full,Unknown,,,,,,,,562,2018-02-28 8:59pm
443,On Premise Contract,,Paid In Full,Cash,,,,,,,700.00,563,2018-02-28 9:06pm
444,On Premise Contract,,Paid In Full,Unknown,,,,,,,,564,2018-02-28 9:10pm
445,On Premise Contract,,Paid In Full,Check,,,,,,,700.00,570,2018-03-05 2:42pm
446,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,571,2018-03-05 2:49pm
447,On Premise Contract,,Paid In Full,Cash,,,,,,,,572,2018-03-05 2:51pm
448,On Premise Contract,,Paid In Full,Cash,,,,,,,0.00,573,2018-03-05 2:54pm
449,On Premise Contract,,Paid In Full,Cash,,,,,,,,574,2018-03-05 2:57pm
450,On Premise Contract,,Paid In Full,Check,,,,,,,900.00,575,2018-03-05 3:00pm
451,On Premise Contract,,Paid In Full,Cash | Check,,,,,,,700.00,576,2018-03-05 3:03pm
452,On Premise Contract,,Paid In Full,Unknown,,,,,,,0.00,577,2018-03-05 3:05pm
453,On Premise Contract,,Paid In Full,Check,,,,,,,,578,2018-03-05 3:11pm
454,On Premise Contract,,Paid In Full,Check,,,,,,,,579,2018-03-05 3:20pm
455,On Premise Contract,,Paid In Full,Check,,,,,,,,580,2018-03-05 3:24pm
456,On Premise Contract,,Paid In Full,Unknown,,,,,,,,581,2018-03-05 3:39pm
457,On Premise Contract,,Paid In Full,Unknown,,,,,,,,582,2018-03-05 3:46pm
458,On Premise Contract,,Paid In Full,Check,,,,,,,,583,2018-03-05 3:57pm
459,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,584,2018-03-05 5:16pm
460,On Premise Contract,,Paid In Full,Check,,,,,,,,585,2018-03-05 5:18pm
461,On Premise Contract,,Paid In Full,Check,,,,,,,,586,2018-03-05 5:47pm
462,On Premise Contract,,Paid In Full,Deduction from Commissions,,,,,,,,587,2018-03-05 6:36pm
463,On Premise Contract,,Paid In Full,Check,,,,,,,,588,2018-03-05 6:39pm
464,On Premise Contract,,Paid In Full,Unknown,,,,,,,,589,2018-03-05 6:43pm
465,On Premise Contract,,Paid In Full,Check,,,,,,,,590,2018-03-05 6:55pm
466,On Premise Contract,,Paid In Full,Unknown,,,,,,,,591,2018-03-05 6:56pm
467,On Premise Contract,,Paid In Full,Unknown,,,100.00,,,,,592,2018-03-05 6:59pm
